REGULATION_ID ,LAST_UPDATED,JURISDICTION,ACTION,ACTION_TYPE,AMENDMENT_NUMBER,ACCOUNTABILITY_MEASURE,FR_CITATION,FR_SECTION,FR_URL,MANAGEMENT_CATEGORY,MANAGEMENT_TYPE,SECTOR,SUBSECTOR,REGION,ZONE,JURISDICTIONAL_WATERS,COMMON_NAME,SPECIES_ITIS,FMP,SPECIES_AGGREGATE,SPECIES_GROUP,MANAGEMENT_STATUS,EFFECTIVE_DATE,INEFFECTIVE_DATE,START_DAY,START_MONTH,START_YEAR,START_TIME,START_DAY_OF_WEEK,END_DAY,END_MONTH,END_YEAR,END_TIME,END_DAY_OF_WEEK,VALUE,VALUE_UNITS,VALUE_TYPE,VALUE_RATE,FLAG
45900,3/28/2025,FEDERAL,FINAL,AMENDMENT,30B,NO,74 FR 17603,50 CFR 622.34,https://www.federalregister.gov/documents/2009/04/16/E9-8764/fisheries-of-the-caribbean-gulf-of-mexico-and-south-atlantic-reef-fish-fishery-of-the-gulf-of-mexico,TEMPORAL CONTROLS,CLOSURE,RECREATIONAL,ALL,GULF OF MEXICO,ALL,EEZ,"GROUPER, RED","	=""167702""",REEF FISH RESOURCES OF THE GULF OF MEXICO,,,SEASONAL,5/18/2009,5/18/2009,15,2,,,,15,3,,,,,,,,YES
670,3/28/2025,FEDERAL,FINAL,AMENDMENT,30B,NO,74 FR 17603,50 CFR 622.49,https://www.federalregister.gov/documents/2009/04/16/E9-8764/fisheries-of-the-caribbean-gulf-of-mexico-and-south-atlantic-reef-fish-fishery-of-the-gulf-of-mexico,CATCH LIMITS,ACT,RECREATIONAL,ALL,GULF OF MEXICO,ALL,EEZ,"GROUPER, RED","	=""167702""",REEF FISH RESOURCES OF THE GULF OF MEXICO,,,,5/18/2009,,,,2009,,,,,,,,1820000,POUNDS,GUTTED WEIGHT,PER FISHING YEAR,NO
669,3/28/2025,FEDERAL,FINAL,AMENDMENT,30B,NO,74 FR 17603,50 CFR 622.49,https://www.federalregister.gov/documents/2009/04/16/E9-8764/fisheries-of-the-caribbean-gulf-of-mexico-and-south-atlantic-reef-fish-fishery-of-the-gulf-of-mexico,CATCH LIMITS,ACT,RECREATIONAL,ALL,GULF OF MEXICO,ALL,EEZ,"GROUPER, GAG","	=""167759""",REEF FISH RESOURCES OF THE GULF OF MEXICO,,,,5/18/2009,,,,2011,,,,,,,,2200000,POUNDS,GUTTED WEIGHT,PER FISHING YEAR,NO
668,3/28/2025,FEDERAL,FINAL,AMENDMENT,30B,NO,74 FR 17603,50 CFR 622.49,https://www.federalregister.gov/documents/2009/04/16/E9-8764/fisheries-of-the-caribbean-gulf-of-mexico-and-south-atlantic-reef-fish-fishery-of-the-gulf-of-mexico,CATCH LIMITS,ACT,RECREATIONAL,ALL,GULF OF MEXICO,ALL,EEZ,"GROUPER, GAG","	=""167759""",REEF FISH RESOURCES OF THE GULF OF MEXICO,,,,5/18/2009,,,,2010,,,,,,,,2140000,POUNDS,GUTTED WEIGHT,PER FISHING YEAR,NO
667,3/28/2025,FEDERAL,FINAL,AMENDMENT,30B,NO,74 FR 17603,50 CFR 622.49,https://www.federalregister.gov/documents/2009/04/16/E9-8764/fisheries-of-the-caribbean-gulf-of-mexico-and-south-atlantic-reef-fish-fishery-of-the-gulf-of-mexico,CATCH LIMITS,ACT,RECREATIONAL,ALL,GULF OF MEXICO,ALL,EEZ,"GROUPER, GAG","	=""167759""",REEF FISH RESOURCES OF THE GULF OF MEXICO,,,,5/18/2009,,,,2009,,,,,,,,2060000,POUNDS,GUTTED WEIGHT,PER FISHING YEAR,NO
595,3/28/2025,FEDERAL,FINAL,AMENDMENT,30B,NO,74 FR 17603,50 CFR 622.49,https://www.federalregister.gov/documents/2009/04/16/E9-8764/fisheries-of-the-caribbean-gulf-of-mexico-and-south-atlantic-reef-fish-fishery-of-the-gulf-of-mexico,CATCH LIMITS,ACL,RECREATIONAL,ALL,GULF OF MEXICO,ALL,EEZ,"GROUPER, RED","	=""167702""",REEF FISH RESOURCES OF THE GULF OF MEXICO,,,,5/18/2009,,,,2009,,,,,,,,1850000,POUNDS,GUTTED WEIGHT,PER FISHING YEAR,NO
1019,3/28/2025,FEDERAL,FINAL,AMENDMENT,30B,NO,74 FR 17603,50 CFR 622,https://www.federalregister.gov/documents/2009/04/16/E9-8764/fisheries-of-the-caribbean-gulf-of-mexico-and-south-atlantic-reef-fish-fishery-of-the-gulf-of-mexico,TEMPORAL CONTROLS,CLOSURE,ALL,ALL,GULF OF MEXICO,MADISON-SWANSON SITES AND STEAMBOAT LUMPS,EEZ,ALL,,REEF FISH RESOURCES OF THE GULF OF MEXICO,,,,5/18/2009,,18,5,2009,,,,,,,,,,,,YES
377,3/28/2025,FEDERAL,FINAL,AMENDMENT,30B,NO,74 FR 17603,50 CFR 622.34,https://www.federalregister.gov/documents/2009/04/16/E9-8764/fisheries-of-the-caribbean-gulf-of-mexico-and-south-atlantic-reef-fish-fishery-of-the-gulf-of-mexico,TEMPORAL CONTROLS,CLOSURE,COMMERCIAL,ALL,GULF OF MEXICO,ALL,EEZ,"GROUPER, RED","	=""167702""",REEF FISH RESOURCES OF THE GULF OF MEXICO,,,SEASONAL,5/18/2009,5/18/2009,15,2,,,,15,3,,,,,,,,NO
239,3/28/2025,FEDERAL,FINAL,AMENDMENT,30B,NO,74 FR 17603,50 CFR 622.49,https://www.federalregister.gov/documents/2009/04/16/E9-8764/fisheries-of-the-caribbean-gulf-of-mexico-and-south-atlantic-reef-fish-fishery-of-the-gulf-of-mexico,CATCH LIMITS,ACL,COMMERCIAL,ALL,GULF OF MEXICO,ALL,EEZ,"GROUPER, GAG","	=""167759""",REEF FISH RESOURCES OF THE GULF OF MEXICO,,,,5/18/2009,,,,2011,,,,,,,,1760000,POUNDS,GUTTED WEIGHT,PER FISHING YEAR,NO
240,3/28/2025,FEDERAL,FINAL,AMENDMENT,30B,NO,74 FR 17603,50 CFR 622.49,https://www.federalregister.gov/documents/2009/04/16/E9-8764/fisheries-of-the-caribbean-gulf-of-mexico-and-south-atlantic-reef-fish-fishery-of-the-gulf-of-mexico,CATCH LIMITS,ACL,COMMERCIAL,ALL,GULF OF MEXICO,ALL,EEZ,"GROUPER, RED","	=""167702""",REEF FISH RESOURCES OF THE GULF OF MEXICO,,,,5/18/2009,,,,2009,,,,,,,,5870000,POUNDS,GUTTED WEIGHT,PER FISHING YEAR,NO
593,3/28/2025,FEDERAL,FINAL,AMENDMENT,30B,NO,74 FR 17603,50 CFR 622.49,https://www.federalregister.gov/documents/2009/04/16/E9-8764/fisheries-of-the-caribbean-gulf-of-mexico-and-south-atlantic-reef-fish-fishery-of-the-gulf-of-mexico,CATCH LIMITS,ACL,RECREATIONAL,ALL,GULF OF MEXICO,ALL,EEZ,"GROUPER, GAG","	=""167759""",REEF FISH RESOURCES OF THE GULF OF MEXICO,,,,5/18/2009,,,,2010,,,,,,,,2640000,POUNDS,GUTTED WEIGHT,PER FISHING YEAR,NO
238,3/28/2025,FEDERAL,FINAL,AMENDMENT,30B,NO,74 FR 17603,50 CFR 622.49,https://www.federalregister.gov/documents/2009/04/16/E9-8764/fisheries-of-the-caribbean-gulf-of-mexico-and-south-atlantic-reef-fish-fishery-of-the-gulf-of-mexico,CATCH LIMITS,ACL,COMMERCIAL,ALL,GULF OF MEXICO,ALL,EEZ,"GROUPER, GAG","	=""167759""",REEF FISH RESOURCES OF THE GULF OF MEXICO,,,,5/18/2009,,,,2010,,,,,,,,1710000,POUNDS,GUTTED WEIGHT,PER FISHING YEAR,NO
237,3/28/2025,FEDERAL,FINAL,AMENDMENT,30B,NO,74 FR 17603,50 CFR 622.49,https://www.federalregister.gov/documents/2009/04/16/E9-8764/fisheries-of-the-caribbean-gulf-of-mexico-and-south-atlantic-reef-fish-fishery-of-the-gulf-of-mexico,CATCH LIMITS,ACL,COMMERCIAL,ALL,GULF OF MEXICO,ALL,EEZ,"GROUPER, GAG","	=""167759""",REEF FISH RESOURCES OF THE GULF OF MEXICO,,,,5/18/2009,,,,2009,,,,,,,,1660000,POUNDS,GUTTED WEIGHT,PER FISHING YEAR,NO
594,3/28/2025,FEDERAL,FINAL,AMENDMENT,30B,NO,74 FR 17603,50 CFR 622.49,https://www.federalregister.gov/documents/2009/04/16/E9-8764/fisheries-of-the-caribbean-gulf-of-mexico-and-south-atlantic-reef-fish-fishery-of-the-gulf-of-mexico,CATCH LIMITS,ACL,RECREATIONAL,ALL,GULF OF MEXICO,ALL,EEZ,"GROUPER, GAG","	=""167759""",REEF FISH RESOURCES OF THE GULF OF MEXICO,,,,5/18/2009,,,,2011,,,,,,,,2670000,POUNDS,GUTTED WEIGHT,PER FISHING YEAR,NO
234,3/28/2025,FEDERAL,FINAL,AMENDMENT,30B,NO,74 FR 17603,50 CFR 622.49,https://www.federalregister.gov/documents/2009/04/16/E9-8764/fisheries-of-the-caribbean-gulf-of-mexico-and-south-atlantic-reef-fish-fishery-of-the-gulf-of-mexico,CATCH LIMITS,ACL,COMMERCIAL,ALL,GULF OF MEXICO,ALL,EEZ,,,REEF FISH RESOURCES OF THE GULF OF MEXICO,ACL/ACT: SHALLOW-WATER GROUPER (SWG) COMBINED,,,5/18/2009,,,,2009,,,,,,,,7940000,POUNDS,GUTTED WEIGHT,PER FISHING YEAR,NO
235,3/28/2025,FEDERAL,FINAL,AMENDMENT,30B,NO,74 FR 17603,50 CFR 622.49,https://www.federalregister.gov/documents/2009/04/16/E9-8764/fisheries-of-the-caribbean-gulf-of-mexico-and-south-atlantic-reef-fish-fishery-of-the-gulf-of-mexico,CATCH LIMITS,ACL,COMMERCIAL,ALL,GULF OF MEXICO,ALL,EEZ,,,REEF FISH RESOURCES OF THE GULF OF MEXICO,ACL/ACT: SHALLOW-WATER GROUPER (SWG) COMBINED,,,5/18/2009,,,,2010,,,,,,,,7990000,POUNDS,GUTTED WEIGHT,PER FISHING YEAR,NO
475,3/28/2025,FEDERAL,FINAL,AMENDMENT,30B,NO,74 FR 17603,50 CFR 622.42,https://www.federalregister.gov/documents/2009/04/16/E9-8764/fisheries-of-the-caribbean-gulf-of-mexico-and-south-atlantic-reef-fish-fishery-of-the-gulf-of-mexico,CATCH LIMITS,QUOTA,COMMERCIAL,ALL,GULF OF MEXICO,ALL,EEZ,"GROUPER, GAG","	=""167759""",REEF FISH RESOURCES OF THE GULF OF MEXICO,,,,5/18/2009,,,,2011,,,,,,,,1490000,POUNDS,GUTTED WEIGHT,PER FISHING YEAR,NO
474,3/28/2025,FEDERAL,FINAL,AMENDMENT,30B,NO,74 FR 17603,50 CFR 622.42,https://www.federalregister.gov/documents/2009/04/16/E9-8764/fisheries-of-the-caribbean-gulf-of-mexico-and-south-atlantic-reef-fish-fishery-of-the-gulf-of-mexico,CATCH LIMITS,QUOTA,COMMERCIAL,ALL,GULF OF MEXICO,ALL,EEZ,"GROUPER, GAG","	=""167759""",REEF FISH RESOURCES OF THE GULF OF MEXICO,,,,5/18/2009,,,,2010,,,,,,,,1410000,POUNDS,GUTTED WEIGHT,PER FISHING YEAR,NO
473,3/28/2025,FEDERAL,FINAL,AMENDMENT,30B,NO,74 FR 17603,50 CFR 622.42,https://www.federalregister.gov/documents/2009/04/16/E9-8764/fisheries-of-the-caribbean-gulf-of-mexico-and-south-atlantic-reef-fish-fishery-of-the-gulf-of-mexico,CATCH LIMITS,QUOTA,COMMERCIAL,ALL,GULF OF MEXICO,ALL,EEZ,"GROUPER, GAG","	=""167759""",REEF FISH RESOURCES OF THE GULF OF MEXICO,,,,5/18/2009,,,,2009,,,,,,,,1320000,POUNDS,GUTTED WEIGHT,PER FISHING YEAR,NO
236,3/28/2025,FEDERAL,FINAL,AMENDMENT,30B,NO,74 FR 17603,50 CFR 622.49,https://www.federalregister.gov/documents/2009/04/16/E9-8764/fisheries-of-the-caribbean-gulf-of-mexico-and-south-atlantic-reef-fish-fishery-of-the-gulf-of-mexico,CATCH LIMITS,ACL,COMMERCIAL,ALL,GULF OF MEXICO,ALL,EEZ,,,REEF FISH RESOURCES OF THE GULF OF MEXICO,ACL/ACT: SHALLOW-WATER GROUPER (SWG) COMBINED,,,5/18/2009,,,,2011,,,,,,,,8040000,POUNDS,GUTTED WEIGHT,PER FISHING YEAR,NO
592,3/28/2025,FEDERAL,FINAL,AMENDMENT,30B,NO,74 FR 17603,50 CFR 622.49,https://www.federalregister.gov/documents/2009/04/16/E9-8764/fisheries-of-the-caribbean-gulf-of-mexico-and-south-atlantic-reef-fish-fishery-of-the-gulf-of-mexico,CATCH LIMITS,ACL,RECREATIONAL,ALL,GULF OF MEXICO,ALL,EEZ,"GROUPER, GAG","	=""167759""",REEF FISH RESOURCES OF THE GULF OF MEXICO,,,,5/18/2009,,,,2009,,,,,,,,2590000,POUNDS,GUTTED WEIGHT,PER FISHING YEAR,NO
470,3/28/2025,FEDERAL,FINAL,AMENDMENT,30B,NO,74 FR 17603,50 CFR 622.42,https://www.federalregister.gov/documents/2009/04/16/E9-8764/fisheries-of-the-caribbean-gulf-of-mexico-and-south-atlantic-reef-fish-fishery-of-the-gulf-of-mexico,CATCH LIMITS,QUOTA,COMMERCIAL,ALL,GULF OF MEXICO,ALL,EEZ,,,REEF FISH RESOURCES OF THE GULF OF MEXICO,"QUOTA: SHALLOW-WATER GROUPERS (SWG), COMBINED",,,5/18/2009,,,,2009,,,,,,,,7480000,POUNDS,GUTTED WEIGHT,PER FISHING YEAR,NO
472,3/28/2025,FEDERAL,FINAL,AMENDMENT,30B,NO,74 FR 17603,50 CFR 622.42,https://www.federalregister.gov/documents/2009/04/16/E9-8764/fisheries-of-the-caribbean-gulf-of-mexico-and-south-atlantic-reef-fish-fishery-of-the-gulf-of-mexico,CATCH LIMITS,QUOTA,COMMERCIAL,ALL,GULF OF MEXICO,ALL,EEZ,,,REEF FISH RESOURCES OF THE GULF OF MEXICO,"QUOTA: SHALLOW-WATER GROUPERS (SWG), COMBINED",,,5/18/2009,,,,2011,,,,,,,,7650000,POUNDS,GUTTED WEIGHT,PER FISHING YEAR,NO
471,3/28/2025,FEDERAL,FINAL,AMENDMENT,30B,NO,74 FR 17603,50 CFR 622.42,https://www.federalregister.gov/documents/2009/04/16/E9-8764/fisheries-of-the-caribbean-gulf-of-mexico-and-south-atlantic-reef-fish-fishery-of-the-gulf-of-mexico,CATCH LIMITS,QUOTA,COMMERCIAL,ALL,GULF OF MEXICO,ALL,EEZ,,,REEF FISH RESOURCES OF THE GULF OF MEXICO,"QUOTA: SHALLOW-WATER GROUPERS (SWG), COMBINED",,,5/18/2009,,,,2010,,,,,,,,7570000,POUNDS,GUTTED WEIGHT,PER FISHING YEAR,NO
932,3/28/2025,FEDERAL,FINAL,AMENDMENT,30B,NO,74 FR 17603,50 CFR 622.39,https://www.federalregister.gov/documents/2009/04/16/E9-8764/fisheries-of-the-caribbean-gulf-of-mexico-and-south-atlantic-reef-fish-fishery-of-the-gulf-of-mexico,EFFORT LIMITS,BAG LIMIT,RECREATIONAL,ALL,GULF OF MEXICO,ALL,EEZ,"GROUPER, GAG","	=""167759""",REEF FISH RESOURCES OF THE GULF OF MEXICO,,,,5/18/2009,,18,5,2009,,,,,,,,2,NUMBERS,COUNT,PER PERSON PER DAY,NO
476,3/28/2025,FEDERAL,FINAL,AMENDMENT,30B,NO,74 FR 17603,50 CFR 622.42,https://www.federalregister.gov/documents/2009/04/16/E9-8764/fisheries-of-the-caribbean-gulf-of-mexico-and-south-atlantic-reef-fish-fishery-of-the-gulf-of-mexico,CATCH LIMITS,QUOTA,COMMERCIAL,ALL,GULF OF MEXICO,ALL,EEZ,"GROUPER, RED","	=""167702""",REEF FISH RESOURCES OF THE GULF OF MEXICO,,,,5/18/2009,,,,2009,,,,,,,,5750000,POUNDS,GUTTED WEIGHT,PER FISHING YEAR,NO
420,3/28/2025,FEDERAL,FINAL,AMENDMENT,30B,NO,74 FR 17603,50 CFR 622.37,https://www.federalregister.gov/documents/2009/04/16/E9-8764/fisheries-of-the-caribbean-gulf-of-mexico-and-south-atlantic-reef-fish-fishery-of-the-gulf-of-mexico,SELECTIVITY CONTROLS,MINIMUM SIZE LIMIT,COMMERCIAL,ALL,GULF OF MEXICO,ALL,EEZ,"GROUPER, RED","	=""167702""",REEF FISH RESOURCES OF THE GULF OF MEXICO,,,,5/18/2009,,18,5,2009,,,,,,,,18,INCHES,TOTAL LENGTH,,NO
931,3/28/2025,FEDERAL,FINAL,AMENDMENT,30B,NO,74 FR 17603,50 CFR 622.39,https://www.federalregister.gov/documents/2009/04/16/E9-8764/fisheries-of-the-caribbean-gulf-of-mexico-and-south-atlantic-reef-fish-fishery-of-the-gulf-of-mexico,EFFORT LIMITS,BAG LIMIT,RECREATIONAL,ALL,GULF OF MEXICO,ALL,EEZ,,,REEF FISH RESOURCES OF THE GULF OF MEXICO,"BAG LIMIT: GROUPERS, COMBINED",,,5/18/2009,,18,5,2009,,,,,,,,4,NUMBERS,COUNT,PER PERSON PER DAY,YES
933,3/28/2025,FEDERAL,FINAL,AMENDMENT,30B,NO,74 FR 17603,50 CFR 622.39,https://www.federalregister.gov/documents/2009/04/16/E9-8764/fisheries-of-the-caribbean-gulf-of-mexico-and-south-atlantic-reef-fish-fishery-of-the-gulf-of-mexico,EFFORT LIMITS,BAG LIMIT,RECREATIONAL,ALL,GULF OF MEXICO,ALL,EEZ,"GROUPER, RED","	=""167702""",REEF FISH RESOURCES OF THE GULF OF MEXICO,,,,5/18/2009,,18,5,2009,,,,,,,,2,NUMBERS,COUNT,PER PERSON PER DAY,NO
760,3/28/2025,FEDERAL,FINAL,AMENDMENT,30B,NO,74 FR 17603,50 CFR 622.34,https://www.federalregister.gov/documents/2009/04/16/E9-8764/fisheries-of-the-caribbean-gulf-of-mexico-and-south-atlantic-reef-fish-fishery-of-the-gulf-of-mexico,TEMPORAL CONTROLS,CLOSURE,RECREATIONAL,ALL,GULF OF MEXICO,ALL,EEZ,,,REEF FISH RESOURCES OF THE GULF OF MEXICO,CLOSURE/REOPENING: SHALLOW-WATER GROUPER (SWG),,SEASONAL,5/18/2009,,1,2,,,,31,3,,,,,,,,NO
3552,3/28/2025,FEDERAL,FINAL,AMENDMENT,5,YES,76 FR 82413,50 CFR 622.49,https://www.federalregister.gov/documents/2011/12/30/2011-33515/amendments-to-the-reef-fish-spiny-lobster-queen-conch-and-coral-and-reef-associated-plants-and,CATCH LIMITS,ACL,ALL,ALL,CARIBBEAN,ST. CROIX MANAGEMENT AREA,EEZ,"LOBSTER, CARIBBEAN SPINY","	=""097648""",SPINY LOBSTER FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,,,,1/30/2012,,,,2012,,,,,,,,107307,POUNDS,ROUND (WHOLE) WEIGHT,PER FISHING YEAR,NO
3553,3/28/2025,FEDERAL,FINAL,AMENDMENT,5,YES,76 FR 82413,50 CFR 622.49,https://www.federalregister.gov/documents/2011/12/30/2011-33515/amendments-to-the-reef-fish-spiny-lobster-queen-conch-and-coral-and-reef-associated-plants-and,CATCH LIMITS,ACL,ALL,ALL,CARIBBEAN,ST. THOMAS/ST. JOHN MANAGEMENT AREA,EEZ,"LOBSTER, CARIBBEAN SPINY","	=""097648""",SPINY LOBSTER FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,,,,1/30/2012,,,,2012,,,,,,,,104199,POUNDS,ROUND (WHOLE) WEIGHT,PER FISHING YEAR,NO
3551,3/28/2025,FEDERAL,FINAL,AMENDMENT,5,YES,76 FR 82413,50 CFR 622.49,https://www.federalregister.gov/documents/2011/12/30/2011-33515/amendments-to-the-reef-fish-spiny-lobster-queen-conch-and-coral-and-reef-associated-plants-and,CATCH LIMITS,ACL,COMMERCIAL,ALL,CARIBBEAN,PUERTO RICO MANAGEMENT AREA,EEZ,"LOBSTER, CARIBBEAN SPINY","	=""097648""",SPINY LOBSTER FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,,,,1/30/2012,,,,2012,,,,,,,,327920,POUNDS,ROUND (WHOLE) WEIGHT,PER FISHING YEAR,NO
3549,3/28/2025,FEDERAL,FINAL,AMENDMENT,5,YES,76 FR 82413,50 CFR 622.39,https://www.federalregister.gov/documents/2011/12/30/2011-33515/amendments-to-the-reef-fish-spiny-lobster-queen-conch-and-coral-and-reef-associated-plants-and,EFFORT LIMITS,BAG LIMIT,RECREATIONAL,ALL,CARIBBEAN,ALL,EEZ,"LOBSTER, CARIBBEAN SPINY","	=""097648""",SPINY LOBSTER FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,,,,1/30/2012,,30,1,2012,,,,,,,,3,LOBSTER,COUNT,PER PERSON PER DAY,YES
