MANAGEMENT_TYPE_USE,JURISDICTION,JURISDICTIONAL_WATERS,FMP,SECTOR_USE,REGION,SPP_NAME,SECTOR_ID
MULTI-REGION ABC,FEDERAL,EEZ,DOLPHIN AND WAHOO FISHERY OFF THE ATLANTIC STATES,ALL,SOUTH ATLANTIC,WAHOO,1757
MULTI-REGION ABC,FEDERAL,EEZ,DOLPHIN AND WAHOO FISHERY OFF THE ATLANTIC STATES,ALL,NORTH ATLANTIC,DOLPHIN,1758
MULTI-REGION ABC,FEDERAL,EEZ,DOLPHIN AND WAHOO FISHERY OFF THE ATLANTIC STATES,ALL,NORTH ATLANTIC,WAHOO,1759
MULTI-REGION ABC,FEDERAL,EEZ,DOLPHIN AND WAHOO FISHERY OFF THE ATLANTIC STATES,ALL,MID ATLANTIC,DOLPHIN,1760
MULTI-REGION ABC,FEDERAL,EEZ,DOLPHIN AND WAHOO FISHERY OFF THE ATLANTIC STATES,ALL,MID ATLANTIC,WAHOO,1761
ACL,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,ALL,CARIBBEAN,ACL/ACT: ANGELFISH,1762
ACL,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,ALL,CARIBBEAN,ACL/ACT: SURGEONFISH,1763
ACL,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,ALL,CARIBBEAN,ACL/ACT: SQUIRRELFISH,1764
ACL,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,ALL,CARIBBEAN,"ACL/ACT: SCUPS AND PORGIES, COMBINED",1765
ACL,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,ALL,CARIBBEAN,"ACL/ACT: TRIGGERFISH AND FILEFISH, COMBINED",1766
ACL,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,ALL,CARIBBEAN,AQUARIUM TRADE—DATA COLLECTION ONLY,1767
ACL,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,ALL,CARIBBEAN,ACL/ACT: BOXFISH,1768
ACL,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,ALL,CARIBBEAN,ACL/ACT: GOATFISHES,1769
ACL,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,ALL,CARIBBEAN,ACL/ACT: GRUNTS,1770
ACL,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,ALL,CARIBBEAN,ACL/ACT: WRASSES,1771
ACL,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,ALL,CARIBBEAN,ACL/ACT: JACKS,1772
ACL,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,ALL,CARIBBEAN,ACL/ACT: TILEFISH,1773
OY,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,ALL,GULF OF MEXICO,"MACKEREL, SPANISH",1774
MSY,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,ALL,GULF OF MEXICO,COBIA,1775
MSY,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,ALL,GULF OF MEXICO,"MACKEREL, SPANISH",1776
MSY,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,ALL,GULF OF MEXICO,"MACKEREL, KING",1777
OY,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,ALL,GULF OF MEXICO,"MACKEREL, KING",1778
OY,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,ALL,GULF OF MEXICO,COBIA,1779
MSST,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,ALL,GULF OF MEXICO,COBIA,1780
MSST,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,ALL,GULF OF MEXICO,"MACKEREL, SPANISH",1781
MSST,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,ALL,GULF OF MEXICO,"MACKEREL, KING",1782
ACL,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,ALL,SOUTH ATLANTIC,"MACKEREL, SPANISH",1783
ACL,FEDERAL,EEZ,SNAPPER-GROUPER FISHERY OF THE SOUTH ATLANTIC REGION,ALL,SOUTH ATLANTIC,"GROUPER, BLACK",1784
ACL,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,ALL,CARIBBEAN,ACL/ACT: GROUPERS,1785
ACL,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,ALL,CARIBBEAN,ACL/ACT: SNAPPERS,1786
ACL,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,ALL,CARIBBEAN,ACL/ACT: PARROTFISHES,1787
ACL,FEDERAL,EEZ,SNAPPER-GROUPER FISHERY OF THE SOUTH ATLANTIC REGION,ALL,SOUTH ATLANTIC,ACL/ACT: DEEP-WATER COMPLEX,1788
ACL,FEDERAL,EEZ,SNAPPER-GROUPER FISHERY OF THE SOUTH ATLANTIC REGION,ALL,SOUTH ATLANTIC,ACL/ACT: OTHER SNAPPERS COMPLEX,1789
ACL,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,ALL,GULF OF MEXICO,ACL/ACT:  OTHER SHALLOW-WATER GROUPER (OTHER SWG),1790
ACL,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,ALL,GULF OF MEXICO,ACL/ACT:  DEEP-WATER GROUPER (DWG) COMBINED,1791
ACL,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,ALL,GULF OF MEXICO,ACL/ACT: TILEFISHES COMBINED,1792
ACL,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,ALL,GULF OF MEXICO,"ACL/ACT: LESSER AMBERJACK, ALMACO JACK, AND BANDED RUDDERFISH, COMBINED",1793
ACL,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,ALL,GULF OF MEXICO,"ACL/ACT: SILK SNAPPER, QUEEN SNAPPER, BLACKFIN SNAPPER, AND WENCHMAN, COMBINED",1794
